Image	Name	Object.ID	Class	Parent	ROI	Centroid.X.µm	Centroid.Y.µm	Num.Detections	Num.Other..base.	Num.Stroma..base.	Num.Tumour_cells..base.	Num.Other..Negative	Num.Other..Positive	Num.Stroma..Negative	Num.Stroma..Positive	Num.Tumour_cells..Negative	Num.Tumour_cells..Positive	Stroma..Positive..	Other..Positive..	Tumour_cells..Positive..	Other...Stroma...Tumour_cells..Positive..	Area.µm.2	Perimeter.µm	block
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	2c227487-77bc-42ff-b1af-1a470dc2b78a	Tumor	Image	Rectangle	6997	27209.6	5019	327	1503	3189	250	77	1410	93	2229	960	6.188	23.55	30.1	22.51	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	63d0eaec-4035-47a9-a55d-77c7ec12c381	Tumor	Image	Rectangle	5316	25910.9	4984	444	1623	2917	355	89	1485	138	1981	936	8.503	20.05	32.09	23.33	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	824cdd17-ba5b-4bfb-8711-7146e78108af	Tumor	Image	Rectangle	16182.6	26532.1	5855	595	792	4468	586	9	776	16	4188	280	2.02	1.513	6.267	5.209	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	41d27ff1-bdd5-4adc-bd09-d6fc8ece27ca	Tumor	Image	Rectangle	14080.8	25048.7	6021	397	951	4673	386	11	931	20	4445	228	2.103	2.771	4.879	4.302	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	a4ce5f7d-32d5-4226-9f44-294f9c8e1405	Tumor	Image	Rectangle	13374.5	19838.9	3861	324	748	2789	315	9	740	8	2600	189	1.07	2.778	6.777	5.335	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	ca304288-fcba-4bdb-924c-090a5030928e	Tumor	Image	Rectangle	4102.8	21074.9	6912	367	1281	5264	326	41	1245	36	5071	193	2.81	11.17	3.666	3.906	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	a231fa92-c9ed-4bc0-9a79-1315c48b175f	Tumor	Image	Rectangle	15264.2	20386.2	4827	333	711	3783	323	10	656	55	3147	636	7.736	3.003	16.81	14.52	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	655ed167-2a60-419c-9147-211443fc62ce	Tumor	Image	Rectangle	12049.7	24148	5178	151	1743	3284	140	11	1706	37	2948	336	2.123	7.285	10.23	7.416	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumor	6bfaca91-0004-4b70-981f-406bc6ae3427	Tumor	Image	Rectangle	7369.9	22028.6	5688	126	1348	4214	124	2	1316	32	4114	100	2.374	1.587	2.373	2.356	1e+06	4000	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Tumour_cells	860a56f6-cdb2-4b93-bd22-2e0ce7c23995	Tumour_cells	Image	Polygon	4171.2	21461.7	14	0	0	14	0	0	0	0	14	0	NA	NA	0	0	1450.9	137.73	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Stroma	7b4fc2af-582a-4131-81a4-5063520ecb59	Stroma	Image	Polygon	13525	20047.1	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	214.06	56.49	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Stroma	8c6568fb-eda6-4a9d-9584-eb04865214e2	Stroma	Image	Polygon	13524.5	19977.8	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	214.06	56.49	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Stroma	875b295a-5179-48a7-a0bf-469a4940433c	Stroma	Image	Polygon	13555.7	19884.8	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	214.06	56.49	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Stroma	f7f28861-05da-41b4-b30e-a8d5a999bd4a	Stroma	Image	Polygon	13567.3	19908.5	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	214.06	56.49	BA014
holstf_HF007_BA014_Ki67_Clinical.tif - Series 0	Stroma	6a1d84df-5b1b-4ff2-bfe5-c54c0a99a510	Stroma	Image	Polygon	13630.5	19886.2	2	0	2	0	0	0	2	0	0	0	0	NA	NA	0	214.06	56.49	BA014
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	140d60e1-b2f3-4c62-8efc-a0c832b5995e	Tumor	Image	Rectangle	12293.3	13840.9	4973	386	727	3860	325	61	600	127	2449	1411	17.47	15.8	36.55	32.15	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	afb73836-b2a2-425c-8a99-d47192712474	Tumor	Image	Rectangle	13019.7	15236.3	4080	403	887	2790	363	40	808	79	1870	920	8.906	9.926	32.97	25.47	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	06c97ee5-6204-470f-930a-ae2466d76013	Tumor	Image	Rectangle	11232.2	10856.9	4615	213	991	3411	199	14	945	46	3165	246	4.642	6.573	7.212	6.631	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	af15c832-30e2-476c-9c07-513b4665c128	Tumor	Image	Rectangle	3909.4	8424.5	4311	201	545	3565	184	17	512	33	3105	460	6.055	8.458	12.9	11.83	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	ddc8dc9b-0563-43aa-9cf3-2fb406f53246	Tumor	Image	Rectangle	9508.9	24361.9	5735	202	500	5033	192	10	472	28	4569	464	5.6	4.95	9.219	8.753	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	409ba7c3-628a-4eae-8f06-e02ef3b24988	Tumor	Image	Rectangle	9052.7	13897.6	4851	111	974	3766	104	7	952	22	3525	241	2.259	6.306	6.399	5.566	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Stroma	315b7d21-6c53-4e48-8818-423d1846cdc2	Stroma	Image	Polygon	9301.5	11439.1	3	0	3	0	0	0	3	0	0	0	0	NA	NA	0	445.46	81.98	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	e78e5526-f191-4726-9ebf-29779d767bab	Tumour_cells	Image	Polygon	9136.5	11350.6	3	0	0	3	0	0	0	0	3	0	NA	NA	0	0	320.07	65.67	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	f8cba615-12ce-4004-8e31-4cfb9b77cba2	Tumour_cells	Image	Polygon	9380.9	11102.5	2	0	0	2	0	0	0	0	0	2	NA	NA	100	100	121.3	45.43	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Other	f03abd20-f938-4e95-97df-ca412981f797	Other	Image	Polygon	9607.7	11403.3	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	19.73	19.77	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Stroma	6651ad4d-b3a0-48c9-920a-52fa9ee5f5bb	Stroma	Image	Polygon	9445.5	11346.9	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	41.08	24.31	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	1efecbc4-7a8e-4b06-93fd-4b2cb6efd842	Tumour_cells	Image	Polygon	3707.9	8148.7	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	41.08	24.31	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	52ee5a0b-9ad1-430f-a827-056eec0e0d50	Tumour_cells	Image	Polygon	3676.3	8149.6	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	41.08	24.31	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	ab117885-4116-449f-ae83-3e9c29b965f3	Tumor	Image	Rectangle	12456.5	22740.5	3684	599	1053	2032	575	24	968	85	1798	234	8.072	4.007	11.52	9.311	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	fb61519c-0fcd-4938-8cfe-139f7b46d547	Tumor	Image	Rectangle	18612.2	17882.6	3874	523	1007	2344	477	46	904	103	2097	247	10.23	8.795	10.54	10.22	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	c809eb23-5930-4825-a8e7-7bd1bef860f4	Tumor	Image	Rectangle	21104.6	12982	4046	717	1213	2116	688	29	1016	197	1734	382	16.24	4.045	18.05	15.03	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumor	68b4e4a6-37cf-4fe0-a08c-a10893ebce4c	Tumor	Image	Rectangle	9553.6	11229.9	4122	155	875	3092	151	4	847	28	2815	277	3.2	2.581	8.959	7.496	1e+06	4000	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Stroma	f65a12a8-fcea-4fc2-ba44-414ff0e0364c	Stroma	Image	Polygon	12961.9	15525	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	41.08	24.31	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Stroma	8e755512-70e0-4b75-95e5-3434f08c36b9	Stroma	Image	Polygon	9235.4	13733.3	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	437.64	75.76	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Stroma	e6c7f97d-9750-4655-843c-6a52d51e76e7	Stroma	Image	Polygon	9171.9	13743.5	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	450.76	76.23	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Stroma	d6255df5-1cb0-4208-9fc8-a9a3e7ba9ff8	Stroma	Image	Polygon	9243.7	13757.5	1	0	1	0	0	0	1	0	0	0	0	NA	NA	0	437.64	75.76	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	838cb8f3-6090-4906-af10-d4e106047a54	Tumour_cells	Image	Polygon	9409.7	24390.2	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	196.33	52.34	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	e0141683-cffd-43e3-b4ca-101335518ccc	Tumour_cells	Image	Polygon	9290.7	24307.9	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	196.33	52.34	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	61e6fc0f-b273-49bc-8ad5-298cafc6ad5a	Tumour_cells	Image	Polygon	9266.1	24253.5	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	196.33	52.34	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	a30ca8f4-8941-4f4c-b554-4c78e003e1fe	Tumour_cells	Image	Polygon	9699.9	24263.2	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	196.33	52.34	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	4ef6629d-8d80-45b4-badf-a834183ce0bd	Tumour_cells	Image	Polygon	9747.8	24173	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	196.33	52.34	BA015
holstf_HF007_BA015_Ki67_Clinical.tif - Series 0	Tumour_cells	86b115f7-aa9d-4bee-b0ca-fc75a711b019	Tumour_cells	Image	Polygon	8977.8	14011.4	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	87.35	34.38	BA015
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumor	efcd220c-536e-4080-a902-345f38bb8bc1	Tumor	Image	Rectangle	8523.6	9533.6	5426	700	435	4291	680	20	424	11	4194	97	2.529	2.857	2.261	2.359	1e+06	4000	BA016
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumor	3bf62885-c5b1-4537-a5d7-d84fd74c63e4	Tumor	Image	Rectangle	9796.7	11498.2	4612	600	355	3657	556	44	341	14	3555	102	3.944	7.333	2.789	3.469	1e+06	4000	BA016
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumor	78c40c94-356b-498e-9a96-7eb671ba5fb8	Tumor	Image	Rectangle	3921.9	11458.2	2562	321	170	2071	312	9	168	2	2011	60	1.176	2.804	2.897	2.771	1e+06	4000	BA016
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumor	5b6b7929-f577-4db0-a809-3f9a9ee42579	Tumor	Image	Rectangle	4246	17015.4	3873	766	199	2908	678	88	191	8	2453	455	4.02	11.49	15.65	14.23	1e+06	4000	BA016
