ID,ParentID,Distance,Alive,Necrotic,Lost,Drivers,Passengers,Fitness,CCF
1065,237,1,320,26801,3353,6,0,9.05365109530876,0.0000
1073,237,1,41684,1734860,201175,6,0,9.786472493636573,0.0002
1079,606,1,458,23820,2817,7,0,9.613269671692189,0.0000
1080,237,1,243,27387,3534,6,0,9.01351088819809,0.0000
1081,421,1,268,36549,4640,7,0,8.733610116096447,0.0000
1084,513,1,83894,1845314,201293,7,0,10.569948934122904,0.0004
1086,477,1,598,40239,4834,7,0,9.246269101769778,0.0000
1087,237,1,1266,74757,8938,6,0,9.503538676140328,0.0000
1103,504,1,4451556,47373340,4322980,7,0,12.988387565597565,0.0321
1105,513,1,3187,211314,25716,7,0,9.33018784991969,0.0000
1110,513,1,11578,455153,52857,7,0,9.87365557469687,0.0067
1113,477,1,454116,12145252,1353839,7,0,10.3053662698557,0.0021
1121,237,1,47473,1406204,158948,6,0,10.16426477457681,0.0002
1137,421,1,3694,101441,11283,7,0,10.288395688636255,0.0000
1149,237,1,143600,3147300,343506,6,0,10.591102473069684,0.0019
1156,565,1,5959,231492,26762,7,0,9.826365835795455,0.0000
1169,237,1,2157,108708,13007,6,0,9.637799348717433,0.0000
1194,606,1,3566,108228,12375,7,0,10.07339941137597,0.0000
1203,421,1,1582787,15857376,1558094,7,0,12.193606023192292,0.0070
1219,513,1,9376,235741,25820,7,0,10.382139093231615,0.0000
1233,237,1,11857,342652,38426,6,0,10.231963266806776,0.0001
1238,1110,1,1507452,21681299,2229812,8,0,11.403454202793604,0.0067
1254,683,1,1077516,13086067,1335586,7,0,11.594729679539817,0.0048
1255,237,1,327,13897,1710,6,0,9.586016950883252,0.0000
1276,504,1,1014828,13769279,1422896,7,0,11.375122928587608,0.0045
1282,237,1,1651,54808,6208,6,0,10.112079375838519,0.0000
1299,421,1,1004,64672,7966,7,0,9.33503333274799,0.0000
1302,237,1,25078,688168,76334,6,0,10.253000613662962,0.0001
1303,237,1,352,26309,3168,6,0,9.261190107489469,0.0000
1314,237,1,734,35827,4167,6,0,9.793063629156256,0.0000
1316,606,1,2289,73894,8225,7,0,10.148112660914611,0.0000
1321,606,1,1112707,13111763,1331996,7,0,11.667303019805125,0.0469
1347,237,1,768,29170,3435,6,0,9.827716708614735,0.0000
1349,606,1,314,19534,2438,7,0,9.46205992850945,0.0000
1357,237,1,2621559,32899587,3230509,6,0,11.998257597910552,0.0149
1374,237,1,641,37186,4366,6,0,9.582265075727523,0.0000
1387,683,1,6170,129995,13898,7,0,10.586445606727263,0.0000
1396,421,1,3470,101208,11382,7,0,10.179396422538568,0.0000
1406,421,1,854,34488,4156,7,0,9.636054300106064,0.0000
1418,237,1,4789,128981,14452,6,0,10.241809428517895,0.0000
1425,683,1,5461439,56516217,4973631,7,0,13.471465680433539,0.1938
1429,421,1,167547,2314452,240249,7,0,11.319987630130496,0.0007
1460,237,1,282,19525,2344,6,0,9.086969741772783,0.0000
1466,565,1,430,19025,2262,7,0,9.729940438914246,0.0000
1473,534,1,2637,67654,7313,7,0,10.359037694070096,0.0000
1490,237,1,2036,47530,5304,6,0,10.3726491173131,0.0000
1535,683,1,3090010,33827101,3215923,7,0,12.47125721522781,0.0597
1544,237,1,23941,520785,57084,6,0,10.589678285942282,0.0001
1548,237,1,838,36059,4260,6,0,9.774073274062069,0.0000
1566,683,1,1126,21870,2467,7,0,10.837202482042047,0.0000
1578,552,1,39020,500201,51408,7,0,11.457863662436388,0.0002
1591,237,1,13872,269225,28808,6,0,10.764765625362338,0.0001
1606,683,1,2158,39395,4268,7,0,10.798157290662791,0.0000
1622,513,1,396,20002,2279,7,0,9.672174630183601,0.0000
1625,683,1,247795,3011990,308297,7,0,11.569155870717957,0.0011
1628,513,1,16593,341005,36754,7,0,10.672861223001307,0.0001
1639,504,1,447,18961,2248,7,0,9.728709387799201,0.0000
1641,504,1,699,22161,2458,7,0,10.26074941418802,0.0000
1649,504,1,1093,29970,3400,7,0,10.277752464651885,0.0000
1653,683,1,9499,186950,20294,7,0,10.712113974515864,0.0000
1668,639,1,1136,40567,4503,7,0,10.161369294985404,0.0000
1687,779,1,37640,510716,53124,7,0,11.305636710127148,0.0002
1691,565,1,1965051,20086998,1958368,7,0,12.275833438317575,0.0090
1699,804,1,314069,3700519,377109,7,0,11.632920995269496,0.0014
1700,237,1,1010,37145,4131,6,0,9.977558368444052,0.0000
1702,683,1,6416280,58154256,4554630,7,0,15.179598503664053,0.1040
1716,683,1,84285,1111241,114434,7,0,11.41485256746056,0.0004
1723,237,1,355,17196,1954,6,0,9.580169732783645,0.0000
1726,421,1,603,25758,3024,7,0,9.968781342740684,0.0000
1728,565,1,603,18175,2110,7,0,9.838103332288588,0.0000
1739,237,1,63180,852772,88247,6,0,11.363493905053986,0.0003
1757,683,1,4553,71768,7496,7,0,10.97709889931064,0.0000
1779,504,1,276128,2903708,292040,7,0,11.871025509019349,0.0012
1804,683,1,6846532,61183226,4639272,7,0,15.66831068999859,0.3020
1862,504,1,1124,34827,3890,7,0,9.947691489463779,0.0000
1873,421,1,63949,673206,68163,7,0,11.884366348535217,0.0003
1874,421,1,30117,399487,41287,7,0,11.373355295013967,0.0001
1878,606,1,131585,1322519,132952,7,0,11.957907159341424,0.0006
1887,763,1,1924,44137,4800,7,0,10.69367958934309,0.0000
1916,804,1,3114,63263,6777,7,0,10.63332708176466,0.0000
1920,565,1,1357665,9279183,876888,7,0,13.141798185022726,0.0060
1922,421,1,664,18649,2120,7,0,10.323204222000175,0.0000
1927,683,1,13119,131812,13176,7,0,11.98336558946292,0.0001
1935,683,1,13181,216347,23018,7,0,11.035078909410995,0.0001
1963,763,1,402,13252,1495,7,0,9.963268235105538,0.0000
1972,606,1,1216,32128,3664,7,0,10.350726812438596,0.0000
1986,513,1,802,16770,1843,7,0,10.520207465900613,0.0000
2016,683,1,4420,108292,12045,7,0,10.441318141620854,0.0000
2029,683,1,5973,86410,8883,7,0,11.262928311191695,0.0000
2037,513,1,2195,25906,2704,7,0,11.574764584472799,0.0000
2053,683,1,6380,97761,10471,7,0,11.07599877664742,0.0000
2088,421,1,208518,2139370,214880,7,0,11.927718486389237,0.0009
2096,779,1,977,25679,2894,7,0,10.439677150153246,0.0000
2126,504,1,9832,178840,19136,7,0,10.835289001017154,0.0000
2159,683,1,119176,1044961,102726,7,0,12.283884173711288,0.0005
2184,683,1,2490,56197,6084,7,0,10.602697595435444,0.0000
2193,606,1,19878,241668,24451,7,0,11.65053670716506,0.0001
2197,504,1,9173,102333,10372,7,0,11.75009319462761,0.0000
2199,552,1,68255,782039,79827,7,0,11.67566475822039,0.0003
2200,565,1,2409583,19033578,1751109,7,0,13.237519862909412,0.0107
2204,683,1,719,16226,1765,7,0,10.602809770412163,0.0000
2215,683,1,869,17433,1887,7,0,10.655562908152847,0.0000
2218,513,1,286,9533,1077,7,0,10.025791207663596,0.0000
2222,513,1,3581,39533,4075,7,0,11.661945041275835,0.0000
2260,513,1,616,15120,1619,7,0,10.577734058851345,0.0000
2278,683,1,2054,40688,4299,7,0,10.747736372785386,0.0000
2301,639,1,42759,370534,36663,7,0,12.3131954930864,0.0002
2303,804,1,1493,30263,3400,7,0,10.617916771440223,0.0000
2311,606,1,5868,66700,6712,7,0,11.636789372760578,0.0000
2316,804,1,2861,45353,4778,7,0,11.163621641149888,0.0000
2326,683,1,29379,311937,31645,7,0,11.848015336025862,0.0001
2335,683,1,477,12396,1353,7,0,10.553888666793615,0.0000
2336,504,1,22218,210893,21032,7,0,12.015365869758872,0.0001
2349,504,1,21905,297958,30991,7,0,11.371592153842293,0.0001
2395,477,1,1413,31318,3357,7,0,10.632285089287933,0.0000
2399,513,1,237,6428,724,7,0,10.436884157120964,0.0000
2413,504,1,15691,155780,15595,7,0,11.985678806943726,0.0001
2415,683,1,157175,1285425,125024,7,0,12.42318050170214,0.0007
2419,504,1,2628,42780,4462,7,0,11.197655929803291,0.0000
2451,606,1,394,13477,1577,7,0,10.169185643835412,0.0000
2468,683,1,866,17820,2061,7,0,10.540056562557275,0.0000
2484,683,1,667,13601,1537,7,0,10.5477893961274,0.0000
2488,683,1,868,23542,2590,7,0,10.50403401747822,0.0000
2493,683,1,152504,1061204,102483,7,0,12.881052600557073,0.0007
2509,683,1,1480507,10370685,977052,7,0,13.13349420906809,0.0110
2513,683,1,5191,87355,9541,7,0,10.84847198433581,0.0000
2518,683,1,1716,42197,4619,7,0,10.380890435848906,0.0000
2526,552,1,890,23739,2683,7,0,10.34368170181243,0.0000
2532,683,1,20573,229973,23652,7,0,11.72724692443194,0.0001
2548,513,1,2325,27423,2724,7,0,11.532107453821665,0.0000
2566,1425,1,715974,3906470,366930,8,0,13.620249962745294,0.0032
2573,639,1,1437,26661,2961,7,0,10.604080428315083,0.0000
2577,504,1,1075,14785,1567,7,0,11.371154239419733,0.0000
2578,683,1,3817,62220,6491,7,0,11.088136196542488,0.0000
2596,421,1,1198,21319,2161,7,0,11.060697925817013,0.0000
2609,606,1,11576,123924,12271,7,0,11.770250403517718,0.0001
2628,504,1,6999,79788,8166,7,0,11.522719084319768,0.0000
2636,606,1,1140,23949,2566,7,0,10.58974748572162,0.0000
2642,565,1,238,4853,546,7,0,10.464715914773745,0.0000
2649,513,1,1005,17067,1778,7,0,10.97959653801186,0.0000
2661,683,1,1498,20615,2160,7,0,11.39572351962125,0.0000
2663,513,1,615,10641,1159,7,0,10.894095221403687,0.0000
2669,651,1,1603,26790,2807,7,0,10.951969156403033,0.0000
2674,513,1,1713201,10035882,902519,7,0,14.011140651223997,0.0076
2715,779,1,823,16736,1811,7,0,10.677278299828307,0.0000
2719,683,1,358,7069,782,7,0,10.98393262985263,0.0000
2741,779,1,2375,32088,3349,7,0,11.206793662576214,0.0000
2761,539,1,6570,98402,10335,7,0,11.202809859095055,0.0000
2805,513,1,568,11841,1305,7,0,10.803149760252937,0.0000
2806,683,1,3259,36146,3577,7,0,11.768631974379172,0.0000
2821,504,1,7347,69558,6872,7,0,12.040983208835408,0.0000
2832,683,1,3869,57895,6213,7,0,11.12896277706098,0.0000
2833,683,1,493,9463,1066,7,0,10.752144113162819,0.0000
2846,683,1,17238,139013,13462,7,0,12.427262438436745,0.0001
2869,1425,1,5041854,34680521,2490552,8,0,16.96796603980272,0.1242
2872,683,1,1724,27934,2961,7,0,11.20783641760351,0.0000
2892,504,1,1357,20148,2141,7,0,11.264712318757413,0.0000
2900,237,1,45557,469248,46832,6,0,11.912806641130537,0.0002
2908,513,1,438,4878,493,7,0,11.143800470864255,0.0000
2914,504,1,332,9065,1017,7,0,10.389564953530558,0.0000
2922,804,1,306,7755,857,7,0,10.555474434717272,0.0000
2931,683,1,260,5523,588,7,0,10.396207856096979,0.0000
2951,565,1,1186,12802,1329,7,0,11.70793184764077,0.0000
2974,683,1,542,9844,1062,7,0,10.889971989963101,0.0000
2979,683,1,428,9002,966,7,0,10.711181616213377,0.0000
2980,237,2,38887,313264,30747,7,0,12.504724431235514,0.0002
2985,683,1,454,7854,866,7,0,11.02691165777976,0.0000
3016,683,1,962835,5689806,539268,7,0,13.363803431106613,0.0043
3032,237,1,265,4296,466,6,0,11.149910320912763,0.0000
3065,504,1,1126,14021,1463,7,0,11.548142412786548,0.0000
3072,606,1,3874,49844,5256,7,0,11.466519435452822,0.0000
3107,779,1,1177,18339,1980,7,0,11.111534072295502,0.0000
3131,683,1,358,2834,278,7,0,11.802796757124986,0.0000
3140,504,1,1067,13817,1374,7,0,11.566400758695861,0.0000
3157,606,1,445,7255,770,7,0,11.339834833398852,0.0000
3222,513,1,2286,29739,3137,7,0,11.51839118472018,0.0000
3224,639,1,15641,111730,10918,7,0,12.753905681732517,0.0001
3227,421,1,4952087,35392235,2613539,7,0,16.436146753283452,0.0608
3228,591,1,721,12381,1327,7,0,10.940321281244563,0.0000
3254,237,1,58336,471518,45983,6,0,12.516243522219748,0.0003
3309,504,1,12048,118806,11867,7,0,11.942034391406212,0.0001
3376,683,1,559,9977,1099,7,0,10.672568901774396,0.0000
3379,683,1,251403,1512661,143795,7,0,13.274435984565406,0.0011
3389,421,1,17101,147286,14388,7,0,12.294677937794475,0.0001
3414,237,1,1455,26246,2754,6,0,11.031862410493616,0.0000
3424,513,1,237,4087,467,7,0,10.828969153241365,0.0000
3439,513,1,214854,1292891,122509,7,0,13.297376120765215,0.0009
3511,554,1,337,6972,797,7,0,10.880282583920932,0.0000
3525,237,1,1400,15962,1650,6,0,11.923908073108203,0.0000
3620,683,1,2667,30493,3146,7,0,11.731265366184779,0.0000
3647,1103,1,1805027,9542012,827480,8,0,14.727536084659423,0.0080
3648,1321,1,5147836,31951222,2139887,8,0,18.336556428562453,0.0419
3655,804,1,438,4273,410,7,0,11.632043554929222,0.0000
3659,939,1,564,8710,945,7,0,10.764573052757115,0.0000
3685,779,1,590,11510,1182,7,0,10.572557576035525,0.0000
3740,606,1,1534,21290,2212,7,0,11.234566405260813,0.0000
3741,421,1,192437,1260613,120268,7,0,13.083151797685733,0.0009
3766,683,1,12800,120006,11939,7,0,12.145629938418425,0.0001
3806,683,1,1101,13119,1365,7,0,11.53155655842231,0.0000
3813,606,1,374316,2078920,195978,7,0,13.540255275403823,0.0017
3818,504,1,980,8445,825,7,0,12.69765978025538,0.0000
3835,905,1,1271466,6352573,574735,7,0,14.266328663954635,0.0056
3846,565,1,4461,37298,3679,7,0,12.368114038824787,0.0000
3850,683,1,31516,170773,15923,7,0,13.664108154221216,0.0001
3888,804,1,444,7255,779,7,0,11.006233084362345,0.0000
3908,683,1,407,6579,722,7,0,10.760460975099203,0.0000
3941,504,1,1051,15928,1660,7,0,11.392485850242082,0.0000
3952,1425,1,1373124,6148159,531387,8,0,15.138667437753375,0.0061
3967,683,1,877,7719,816,7,0,12.350037188563045,0.0000
3975,683,1,418,3486,372,7,0,12.491787397915445,0.0000
3984,606,1,1139,12686,1254,7,0,11.573174323719892,0.0000
4026,1535,1,45015,307168,29485,8,0,12.91067432875253,0.0002
4076,779,1,17359,121030,11657,7,0,12.926745691740248,0.0001
4184,683,1,15831,128164,12746,7,0,12.39104422182275,0.0001
4197,683,1,403,4751,514,7,0,11.392932647131389,0.0000
4231,504,1,4640,36332,3553,7,0,12.788071405623482,0.0000
4232,1804,1,8021873,55225062,3384515,8,0,19.69361129902357,0.2196
4238,779,1,2128,18298,1829,7,0,12.258094660060697,0.0000
4253,779,1,7324,67322,6743,7,0,12.072266593879222,0.0000
4278,683,1,833,11834,1251,7,0,10.945558733850806,0.0000
4281,683,1,1534,16386,1586,7,0,11.838779927561927,0.0000
4282,683,1,371,6901,695,7,0,10.751455663397408,0.0000
4301,513,1,1258,17166,1793,7,0,11.22789691084165,0.0000
4309,683,1,708,7849,800,7,0,12.01774872468768,0.0000
4344,905,1,1406,15071,1468,7,0,11.759186986337557,0.0000
4356,683,1,827,9079,898,7,0,11.862148453392734,0.0000
4393,421,1,1346,17532,1774,7,0,11.407403604416185,0.0000
4432,504,1,626,9655,988,7,0,11.202180472559942,0.0000
4434,804,1,1167,11978,1212,7,0,11.86190423303859,0.0000
4441,864,1,493,6883,669,7,0,11.063871952804067,0.0000
4456,683,1,341,4616,507,7,0,10.94011279407666,0.0000
4483,918,1,4792,32380,3108,7,0,12.901211403111256,0.0000
4516,683,1,77116,428282,40095,7,0,13.565853546946343,0.0003
4536,683,1,4829,32336,3075,7,0,13.02017558299096,0.0000
4538,1425,1,980475,4075464,365775,8,0,14.805398146469962,0.0043
4546,683,1,8618,69413,6804,7,0,12.513629713488378,0.0000
4548,683,1,246,3121,344,7,0,10.955166954742118,0.0000
4563,683,1,742,6545,638,7,0,12.362716309768944,0.0000
4583,513,1,3065,25533,2502,7,0,12.276213083187463,0.0000
4613,683,1,2614,11856,1096,7,0,14.191300421144554,0.0000
4621,683,1,2014837,10181402,830238,7,0,15.670813932376369,0.0096
4632,804,1,3077,28245,2793,7,0,12.068486933992158,0.0000
4648,565,1,687,6379,615,7,0,12.056700294554282,0.0000
4676,606,1,801,11568,1183,7,0,11.485747944079925,0.0000
4682,683,1,406807,1526116,137766,7,0,15.034517111729901,0.0018
4704,1357,1,2600,16427,1624,7,0,13.233550877026365,0.0000
4715,513,1,1101,15912,1627,7,0,11.198997648978006,0.0000
4727,683,1,247,3164,309,7,0,11.136619058717129,0.0000
4763,1691,1,30930,132361,12140,8,0,14.455832918192364,0.0001
4777,1103,1,67346,340010,31811,8,0,13.893584547457696,0.0003
4822,1702,1,1021160,3956338,346880,8,0,15.37004522381341,0.0045
4879,1357,1,229,2061,193,7,0,12.203014914823862,0.0000
4883,606,1,1081,13655,1383,7,0,11.491546964662444,0.0000
4890,683,1,249,3015,332,7,0,11.47735660637869,0.0000
4891,683,1,443,4379,448,7,0,11.718859476298405,0.0000
4895,683,1,348,4122,431,7,0,11.574000751517746,0.0000
4910,905,1,335,3305,339,7,0,11.14725195732386,0.0000
4954,606,1,739,7484,778,7,0,12.03648799483242,0.0000
4987,804,1,251,3548,345,7,0,11.494958624442127,0.0000
5071,606,1,3049,27061,2761,7,0,12.283350165823222,0.0000
5098,804,1,7170,51478,4946,7,0,12.690975869089167,0.0000
5108,779,1,428,5013,464,7,0,11.505094220010111,0.0000
5182,606,1,267,2979,318,7,0,11.946144721976738,0.0000
5207,804,1,24168,134021,12694,7,0,13.616221206676416,0.0001
5215,683,1,1344,14275,1469,7,0,11.73109015927749,0.0000
5247,804,1,331,4050,421,7,0,11.225066964121728,0.0000
5256,1425,1,182841,693266,62534,8,0,14.991601892148127,0.0008
5283,606,1,552,5756,625,7,0,11.978289086553309,0.0000
5293,1702,1,219919,797274,71743,8,0,15.200369509497499,0.0010
5297,513,1,1551,15836,1604,7,0,11.845041538424864,0.0000
5302,683,1,514,6685,637,7,0,11.604803186862776,0.0000
5305,1103,1,309922,1173911,105760,8,0,14.985375596773242,0.0014
5307,513,1,307,4846,464,7,0,11.101707613577261,0.0000
5339,1425,1,2505,12972,1195,8,0,13.54203735679964,0.0000
5367,1113,1,14305,101720,9862,8,0,12.838439686604282,0.0001
5373,779,1,464,4320,450,7,0,12.28310768793355,0.0000
5397,1425,1,36630,199569,18751,8,0,13.657094371016225,0.0002
5419,1357,1,5046,35358,3266,7,0,13.141462293755925,0.0000
5468,804,1,531357,1948795,175217,7,0,15.158886739248278,0.0023
5475,683,1,555939,2100409,188960,7,0,15.033368173732246,0.0025
5476,1425,1,102858,474762,44172,8,0,14.173103685578766,0.0005
5477,1425,1,14672,76528,7176,8,0,13.801096218042364,0.0001
5478,534,1,358,5175,521,7,0,11.391086914991524,0.0000
5499,905,1,6617,35695,3436,7,0,13.53516658155878,0.0000
5521,504,1,11056,71931,6966,7,0,12.973689640736007,0.0000
5606,683,1,337,5352,559,7,0,11.372774292145621,0.0000
5633,683,1,482,4752,477,7,0,11.297052189273572,0.0000
5640,779,1,280172,1125221,102672,7,0,14.812484428581714,0.0012
5673,779,1,3365,25116,2388,7,0,12.689308591575562,0.0000
5675,1425,1,16053,87072,8121,8,0,13.67093680317235,0.0001
5722,779,1,583,5209,534,7,0,12.109869336767666,0.0000
5750,1357,1,858,5702,551,7,0,13.116375267118617,0.0000
5825,683,1,9372,64787,6071,7,0,12.918658760887629,0.0000
5895,779,1,10141,55720,5159,7,0,13.53232599081553,0.0000
5898,477,1,270,3745,376,7,0,11.373916706830563,0.0000
5902,639,1,309,2999,275,7,0,12.12888851287489,0.0000
5906,1103,1,20034,108954,10156,8,0,13.656551531654161,0.0001
5974,804,1,3900,24853,2342,7,0,12.997557529387622,0.0000
5975,1425,1,213247,796703,71750,8,0,15.024070962017003,0.0009
5977,683,1,900600,3066319,260633,7,0,16.13612696856442,0.0040
6007,513,1,483,4845,502,7,0,11.400040263776937,0.0000
6013,779,1,86926,370343,33996,7,0,14.467472127588454,0.0004
6016,1425,1,2813,13973,1271,8,0,13.889439553135643,0.0000
6031,2636,1,7079,38981,3635,8,0,13.70722538783591,0.0000
6042,1425,1,1685162,6661010,503766,8,0,17.58631829345956,0.0075
6088,804,1,426,3738,398,7,0,12.66424158451551,0.0000
6089,1535,1,3963,17868,1586,8,0,13.979977481983926,0.0000
6104,683,1,2223,14372,1385,7,0,13.151402718743325,0.0000
6120,683,1,797,7584,736,7,0,12.1027272069148,0.0000
6121,804,1,10234,50073,4722,7,0,13.940412111354723,0.0000
6131,504,1,694,6444,642,7,0,12.270813090259646,0.0000
6159,1357,1,254,2584,280,7,0,12.088843288039417,0.0000
6172,1702,1,557082,1973136,176805,8,0,15.277843500065758,0.0025
6183,683,1,79855,332193,30193,7,0,14.616958111571828,0.0004
6195,1535,1,1353,6812,641,8,0,13.977351153912513,0.0000
6205,606,1,5520,30360,2888,7,0,13.530197054189266,0.0000
6261,1425,1,137997,526869,47600,8,0,14.95784630458842,0.0006
6315,683,1,32002,140813,12870,7,0,14.434996128049121,0.0001
6333,683,1,8912,47344,4458,7,0,13.664617515527361,0.0000
6339,1357,1,514,3272,289,7,0,13.236563496785065,0.0000
6340,1691,1,4822,28782,2648,8,0,13.348160134128216,0.0000
6379,639,1,1217,9236,920,7,0,13.013675804824747,0.0000
6390,683,1,303,2583,268,7,0,11.967778742260096,0.0000
6392,804,1,603,5737,584,7,0,12.55851898596334,0.0000
6415,847,1,5566,30794,2839,7,0,13.653670349407477,0.0000
6428,683,1,417,3396,318,7,0,12.116940546035169,0.0000
6438,683,1,603,4731,508,7,0,12.2926016953115,0.0000
6486,1425,1,349806,965408,84968,8,0,16.542791809901274,0.0015
6535,1535,1,3992334,19046340,1195886,8,0,20.27872194733867,0.0301
6549,804,1,563,4863,529,7,0,12.50787769447516,0.0000
6554,1276,1,684,3788,341,8,0,13.697374981398976,0.0000
6560,606,1,1638,9672,954,7,0,13.542689535317614,0.0000
6610,606,1,4986,25623,2470,7,0,13.65970601129092,0.0000
6626,1425,1,913010,3089789,261983,8,0,16.252844172194997,0.0040
6634,683,1,6644,34491,3127,7,0,13.685850045654865,0.0000
6649,2869,1,1407043,4952269,372612,9,0,18.04979368017857,0.0063
6687,804,1,6003,25448,2323,7,0,14.604064388419284,0.0000
6697,513,1,543,6385,635,7,0,11.80910096415617,0.0000
6701,683,1,1138,8801,876,7,0,12.40818293013003,0.0000
6722,683,1,696,6972,650,7,0,11.647119769625329,0.0000
6766,1103,1,11573,57874,5416,8,0,13.90250316876379,0.0001
6779,1535,1,1305,6034,555,8,0,14.244354696704239,0.0000
6790,1702,1,225777,722870,64478,8,0,15.767965188156483,0.0010
6796,1425,1,2084,11685,1107,8,0,13.630514782414837,0.0000
6819,1535,1,919848,2825667,226866,8,0,17.48001553063708,0.0041
6823,1103,1,4092,22050,2040,8,0,13.604053601795416,0.0000
6838,639,1,931,8519,812,7,0,12.01048280811861,0.0000
6852,1276,1,1769,9909,922,8,0,13.287370538216386,0.0000
6863,1425,1,3391,18890,1792,8,0,13.530773243122495,0.0000
6875,1254,1,3053,21702,2074,8,0,12.77288814481398,0.0000
6879,683,1,2059,11163,1019,7,0,13.688005081710958,0.0000
6897,1425,1,6443,31944,2945,8,0,13.998165020357582,0.0000
6916,606,1,247,2374,261,7,0,11.508665531394723,0.0000
6952,504,1,850,5954,523,7,0,13.17493042775964,0.0000
6983,683,1,2718,19207,1819,7,0,12.89639152534165,0.0000
