Chromosome	Start	End
chr1	164006538	164006658
chr1	164009659	164009779
chr1	164012969	164013089
chr1	166008655	166008775
chr1	166010161	166010281
chr1	166011050	166011170
chr1	167420365	167420485
chr1	168005729	168005849
chr1	168019250	168019370
chr1	170006925	170007045
chr1	170009486	170009606
chr1	172008587	172008707
chr1	172010548	172010668
chr1	172010999	172011119
chr1	172862174	172862294
chr1	172898317	172898437
chr1	173309653	173309773
chr1	174008964	174009084
chr1	176013285	176013405
chr1	178008340	178008460
chr1	182009981	182010101
chr1	182010800	182010920
chr1	184009752	184009872
chr1	186007549	186007669
chr1	186009240	186009360
chr1	186724943	186725063
chr1	188009158	188009278
chr1	188009468	188009588
chr1	188012221	188012341
chr1	190010040	190010160
chr1	190010185	190010368
chr1	192010181	192010301
chr1	194009487	194009607
chr1	194010756	194010876
chr1	196010267	196010387
chr1	196010920	196011040
chr1	200008277	200008397
chr1	200009629	200009749
chr1	200010764	200010884
chr1	200935806	200935926
chr1	202695529	202695649
chr1	202698163	202698301
chr1	202698532	202698652
chr1	202698777	202699155
chr1	202700036	202700191
chr1	202700951	202701071
chr1	202702528	202702648
chr1	202702650	202702770
chr1	202702772	202702892
chr1	202702894	202703014
chr1	202704556	202704715
chr1	202705340	202705520
chr1	202709801	202709940
chr1	202710494	202710850
chr1	202711516	202711636
chr1	202711782	202711933
chr1	202714977	202715110
chr1	202715269	202715451
chr1	202718072	202718267
chr1	202719786	202719906
chr1	202722032	202722195
chr1	202724398	202724580
chr1	202725485	202725644
chr1	202727518	202727638
chr1	202729542	202729701
chr1	202731821	202731941
chr1	202733164	202733284
chr1	202736053	202736188
chr1	202742082	202742416
chr1	202743742	202743862
chr1	202746123	202746243
chr1	202777229	202777433
chr1	204015144	204015264
chr1	205921799	205921919
chr1	206075159	206075279
chr1	206939844	206939964
chr1	208006689	208006809
chr1	210009674	210009794
chr1	210012042	210012162
chr1	212010029	212010149
chr1	214007130	214007250
chr1	214008959	214009079
chr1	214011696	214011816
chr1	216010726	216010846
chr1	218010008	218010232
chr1	218010381	218010501
chr1	220008248	220008368
chr1	220009929	220010049
chr1	222009816	222009936
chr1	224009544	224009664
chr1	224010347	224010467
chr1	224015337	224015457
chr1	226011584	226011704
chr1	226012217	226012337
chr1	230011842	230011962
chr1	234009171	234009291
chr1	240007053	240007173
chr1	240009881	240010001
chr1	242009756	242009876
chr1	242010056	242010176
chr1	242010514	242010634
chr1	244009053	244009173
chr1	244011783	244011903
chr1	246008527	246008647
chr1	246010954	246011074
chr1	248007708	248007828
chr1	248010637	248010757
chr10	60848	60968
chr10	2061629	2061749
chr10	3862482	3862602
chr10	4060172	4060292
chr10	6057672	6057792
chr10	6123435	6123555
chr10	6390390	6390510
chr10	6393200	6393320
chr10	6472831	6472951
chr10	8060061	8060181
chr10	8061201	8061321
chr10	8097618	8097859
chr10	8100267	8100804
chr10	8105955	8106101
chr10	8111438	8111558
chr10	8115701	8115986
chr10	10061084	10061204
chr10	12060057	12060177
chr10	12061516	12061636
chr10	12062754	12062874
chr10	12314937	12315057
chr10	14060619	14060739
chr10	14060745	14060865
chr10	14061547	14061667
chr10	16061898	16062018
chr10	24058744	24058864
chr10	24059547	24059667
chr10	28055338	28055458
chr10	28061177	28061297
chr10	30057955	30058075
chr10	30060132	30060252
chr10	32062322	32062442
chr10	34059246	34059366
chr10	34061672	34061792
chr10	36062382	36062502
chr10	36062982	36063102
chr10	38064009	38064129
chr10	44060847	44060967
chr10	44060970	44061090
chr10	44061234	44061354
chr10	46056067	46056187
chr10	48053927	48054047
chr10	48055187	48055307
chr10	48116640	48116760
chr10	49936276	49936396
chr10	50059708	50059828
chr10	50060442	50060562
chr10	50062107	50062227
chr10	54061378	54061498
chr10	56061342	56061462
chr10	56062397	56062517
chr10	58059572	58059692
chr10	58060149	58060269
chr10	58061959	58062079
chr10	60059859	60059979
chr10	60061186	60061306
chr10	60061441	60061561
chr10	62058336	62058456
chr10	64060163	64060283
chr10	64438426	64438546
chr10	64445504	64445624
chr10	66072332	66072452
chr10	66074146	66074266
chr10	68061819	68061939
chr10	70060885	70061005
chr10	70061015	70061135
chr10	70931414	70931534
chr10	72059975	72060095
chr10	72061413	72061533
chr10	76060657	76060777
chr10	78060319	78060439
chr10	78061475	78061595
chr10	78062511	78062631
chr10	80060632	80060752
chr10	84059934	84060054
chr10	84060161	84060281
chr10	84062283	84062403
chr10	88060794	88060914
chr10	88061113	88061233
chr10	89623706	89624305
chr10	89653764	89653884
chr10	89685232	89685352
chr10	89690764	89690884
chr10	89692769	89693008
chr10	89711874	89712016
chr10	89717609	89717776
chr10	89720650	89720884
chr10	89725043	89725229
chr10	90022973	90023093
chr10	90056092	90056212
chr10	92060579	92060699
chr10	94462822	94462942
chr10	94465499	94465619
chr10	96063219	96063339
chr10	98058309	98058429
chr10	98060062	98060182
chr10	98064748	98064868
chr10	100058651	100058771
chr10	100300122	100300242
chr10	101287704	101287824
chr10	101291533	101291653
chr10	106055903	106056023
chr10	106065763	106065883
chr10	108061848	108061968
chr10	110060965	110061085
chr10	110063024	110063144
chr10	112056038	112056158
chr10	112061188	112061308
chr10	112061665	112061785
chr10	114060746	114060866
chr10	114755981	114756101
chr10	114758289	114758409
chr10	116060327	116060447
chr10	116061487	116061607
chr10	116062450	116062570
chr10	118058567	118058687
chr10	118059284	118059404
chr10	120054953	120055073
chr10	120059937	120060057
chr10	122060134	122060254
chr10	122060678	122060798
chr10	123239079	123239199
chr10	123239370	123239627
chr10	123241628	123241748
chr10	123243204	123243324
chr10	123244908	123245046
chr10	123246842	123246962
chr10	123247506	123247626
chr10	123256045	123256236
chr10	123258004	123258124
chr10	123260340	123260460
chr10	123263303	123263455
chr10	123274630	123274833
chr10	123276832	123276986
chr10	123278195	123278343
chr10	123279492	123279683
chr10	123285628	123285748
chr10	123286194	123286314
chr10	123297856	123297976
chr10	123298107	123298227
chr10	123310803	123310973
chr10	123323838	123324093
chr10	123324951	123325218
chr10	123353216	123353336
chr10	124059976	124060096
chr10	124060742	124060862
chr10	124061441	124061561
chr10	126059654	126059774
chr10	126063499	126063619
chr10	128058791	128058911
chr10	128060681	128060801
chr10	130060199	130060319
chr10	132060204	132060324
chr10	132061137	132061257
chr10	132063630	132063750
chr10	134060729	134060849
chr10	134060862	134060982
chr10	134061099	134061219
chr11	532635	532755
chr11	533257	533377
chr11	533452	533612
chr11	533765	533944
chr11	534206	534326
chr11	589504	589624
chr11	2086072	2086192
chr11	2087160	2087280
chr11	2087352	2087472
chr11	2169714	2169834
chr11	2170083	2170203
chr11	2213106	2213226
chr11	2839691	2839811
chr11	2844156	2844276
chr11	2858486	2858606
chr11	4085469	4085589
chr11	4087534	4087654
chr11	4088296	4088416
chr11	6086335	6086455
chr11	6086511	6086631
chr11	6088052	6088172
chr11	8083122	8083242
chr11	8087501	8087621
chr11	14085489	14085609
chr11	14086398	14086518
chr11	14088224	14088344
chr11	16069204	16069324
chr11	17408570	17408690
chr11	17409512	17409632
chr11	18088886	18089006
chr11	20086704	20086824
chr11	20087152	20087272
chr11	20087833	20087953
chr11	20698869	20698989
chr11	24086086	24086206
chr11	24087595	24087715
chr11	26085004	26085124
chr11	26087202	26087322
chr11	28082829	28082949
chr11	28085729	28085849
chr11	30090404	30090524
chr11	32085360	32085480
chr11	32087048	32087168
chr11	32090494	32090614
chr11	32410604	32410724
chr11	32413504	32413624
chr11	32414196	32414316
chr11	32417802	32417953
chr11	32421482	32421602
chr11	32438000	32438120
chr11	32439099	32439219
chr11	32449492	32449612
chr11	32450044	32450164
chr11	32452020	32452140
chr11	32455440	32455560
chr11	32456245	32456906
chr11	34082250	34082370
chr11	36087793	36087913
chr11	36088357	36088477
chr11	38086959	38087079
chr11	38088845	38088965
chr11	40086942	40087062
chr11	40087247	40087367
chr11	41915306	41915426
chr11	42086717	42086837
chr11	44087251	44087371
chr11	46086087	46086207
chr11	46086667	46086787
chr11	46089096	46089216
chr11	48085900	48086020
chr11	48091243	48091363
chr11	50082193	50082313
chr11	50093638	50093758
chr11	56086087	56086207
chr11	56087269	56087389
chr11	58086070	58086190
chr11	58086695	58086815
chr11	58087751	58087871
chr11	60086414	60086534
chr11	60087242	60087362
chr11	64089390	64089510
chr11	66083722	66083842
chr11	68085379	68085499
chr11	68088771	68088891
chr11	69596463	69596583
chr11	70087138	70087258
chr11	72088613	72088733
chr11	74086248	74086368
chr11	74086582	74086702
chr11	74088123	74088243
chr11	76086383	76086503
chr11	76087339	76087459
chr11	76301256	76301376
chr11	78088694	78088814
chr11	80087000	80087120
chr11	82089933	82090053
chr11	84085181	84085301
chr11	86086333	86086453
chr11	86086521	86086641
chr11	88087005	88087125
chr11	88087297	88087417
chr11	88087468	88087588
chr11	90086659	90086779
chr11	90086893	90087013
chr11	92090429	92090549
chr11	96085805	96085925
chr11	96087518	96087742
chr11	100081529	100081649
chr11	100081940	100082060
chr11	100093351	100093471
chr11	102087103	102087223
chr11	106085441	106085671
chr11	106092239	106092359
chr11	108087323	108087443
chr11	110086974	110087094
chr11	112085256	112085376
chr11	112087041	112087161
chr11	112091239	112091359
chr11	114087062	114087182
chr11	114087517	114087637
chr11	116085067	116085187
chr11	118087032	118087152
chr11	120083588	120083708
chr11	120086858	120086978
chr11	120087897	120088017
chr11	122085075	122085195
chr11	124086362	124086482
chr11	124087248	124087368
chr11	124088044	124088164
chr11	126084971	126085091
chr11	126088764	126088884
chr11	128088875	128088995
chr11	130084483	130084603
chr11	130086885	130087005
chr11	130087934	130088054
chr11	132087475	132087595
chr11	134085711	134085831
chr11	134088622	134088742
chr11	134091991	134092111
chr12	68597	68717
chr12	2058635	2058755
chr12	2060520	2060640
chr12	4059705	4059825
chr12	4060828	4060948
chr12	4060984	4061104
chr12	6057851	6057971
chr12	6061887	6062007
chr12	9833568	9833688
chr12	9855898	9856018
chr12	10059419	10059539
chr12	10061052	10061172
chr12	10063317	10063437
chr12	12059392	12059512
chr12	12870773	12871248
chr12	12871759	12871879
chr12	12873998	12874141
chr12	14058868	14058988
chr12	14061807	14061927
chr12	14062145	14062265
chr12	16059802	16059922
chr12	16062390	16062510
chr12	22059963	22060083
chr12	22061671	22061791
chr12	22062288	22062408
chr12	23946086	23946206
chr12	24060557	24060747
chr12	25362726	25362846
chr12	25368374	25368494
chr12	25378547	25378707
chr12	25380167	25380346
chr12	25388090	25388210
chr12	25398202	25398322
chr12	28060606	28060726
chr12	28060741	28060861
chr12	30059604	30059724
chr12	32060599	32060719
chr12	32060964	32061084
chr12	34059443	34059563
chr12	34060960	34061080
chr12	40601880	40602000
chr12	44061033	44061153
chr12	44061232	44061352
chr12	45774848	45774968
chr12	46059894	46060014
chr12	46062642	46062762
chr12	46123605	46123725
chr12	46123813	46123933
chr12	46124988	46125108
chr12	46205200	46205334
chr12	46211452	46211671
chr12	46215176	46215296
chr12	46230344	46230464
chr12	46230523	46230643
chr12	46230654	46230774
chr12	46231092	46231212
chr12	46231280	46231490
chr12	46233111	46233279
chr12	46240619	46240739
chr12	46242618	46242753
chr12	46243362	46243559
chr12	46243818	46246679
chr12	46254583	46254732
chr12	46285562	46285701
chr12	46285776	46285896
chr12	46287202	46287341
chr12	46287400	46287520
chr12	46298074	46298194
chr12	46298716	46298861
chr12	48061291	48061411
chr12	48065871	48065991
chr12	49415548	49415668
chr12	49415820	49415940
chr12	49416039	49416159
chr12	49416372	49416658
chr12	49417799	49417919
chr12	49418366	49418486
chr12	49418592	49418729
chr12	49419964	49421105
chr12	49421589	49421709
chr12	49421791	49421924
chr12	49422616	49422736
chr12	49422843	49423019
chr12	49423161	49423281
chr12	49424062	49424222
chr12	49424383	49424551
chr12	49424675	49424816
chr12	49424957	49427747
chr12	49427849	49428082
chr12	49428166	49428286
chr12	49428346	49428466
chr12	49428596	49428716
chr12	49430907	49432772
chr12	49433004	49433141
chr12	49433217	49433400
chr12	49433506	49435318
chr12	49435402	49435522
chr12	49435676	49435796
chr12	49435871	49435991
chr12	49435993	49436113
chr12	49436326	49436446
chr12	49436523	49436661
chr12	49436854	49436974
chr12	49437118	49437238
chr12	49437417	49437565
chr12	49437656	49437776
chr12	49437970	49438090
chr12	49438185	49438305
chr12	49438526	49438748
chr12	49439666	49439786
chr12	49439842	49439962
chr12	49440042	49440207
chr12	49440391	49440573
chr12	49441740	49441860
chr12	49442436	49442556
chr12	49442884	49443004
chr12	49443464	49444573
chr12	49444668	49446207
chr12	49446346	49446492
chr12	49446697	49446855
chr12	49446986	49447106
chr12	49447258	49447424
chr12	49447760	49447923
chr12	49448084	49448204
chr12	49448310	49448534
chr12	49448686	49448806
chr12	49449022	49449142
chr12	50052536	50052656
chr12	50060814	50060934
chr12	50064868	50064988
chr12	51357482	51357602
chr12	52060299	52060419
chr12	52061094	52061214
chr12	55098936	55099056
chr12	56412427	56412547
chr12	56439149	56439269
chr12	56470565	56470685
chr12	56474065	56474185
chr12	56477534	56477686
chr12	56478778	56479096
chr12	56480317	56480437
chr12	56481333	56481453
chr12	56481578	56481698
chr12	56481804	56481946
chr12	56482120	56482240
chr12	56482323	56482443
chr12	56482532	56482652
chr12	56486507	56486627
chr12	56486754	56486874
chr12	56487128	56487334
chr12	56487547	56487756
chr12	56487868	56487988
chr12	56488185	56488340
chr12	56489007	56489127
chr12	56489448	56489590
chr12	56490286	56490406
chr12	56490520	56490640
chr12	56490828	56491014
chr12	56491568	56491724
chr12	56492283	56492689
chr12	56493420	56493540
chr12	56493621	56493813
chr12	56493933	56494053
chr12	56494844	56495145
chr12	56495312	56495839
chr12	56518348	56518468
chr12	56737913	56738033
chr12	57968655	57968775
chr12	62060794	62060914
chr12	62062691	62062811
chr12	64060376	64060496
chr12	64061325	64061549
chr12	66058610	66058730
chr12	66060752	66060872
chr12	66065076	66065196
chr12	68057977	68058097
chr12	68060685	68060805
chr12	68504532	68504652
chr12	70060956	70061076
chr12	71577041	71577161
chr12	71663042	71663162
chr12	72059489	72059609
chr12	74061128	74061248
chr12	76060387	76060590
chr12	78057200	78057320
chr12	78060796	78060916
chr12	80062096	80062216
chr12	82058915	82059035
chr12	82061867	82061987
chr12	84060094	84060214
chr12	84060783	84060903
chr12	84060980	84061100
chr12	86060908	86061028
chr12	88044298	88044418
chr12	90060526	90060646
chr12	90062316	90062436
chr12	92060795	92060915
chr12	92060932	92061052
chr12	94059071	94059191
chr12	96058661	96058781
chr12	96060660	96060780
chr12	96062188	96062308
chr12	102061011	102061131
chr12	104060851	104060971
chr12	104061274	104061394
chr12	106059784	106059904
chr12	106061643	106061763
chr12	106063683	106063803
chr12	108060094	108060214
chr12	108060649	108060769
chr12	110060070	110060190
chr12	111884548	111884668
chr12	112486758	112486878
chr12	114060036	114060156
chr12	115109645	115110107
chr12	115111969	115112640
chr12	115114117	115114275
chr12	115115362	115115482
chr12	115117309	115117456
chr12	115117687	115117807
chr12	115118683	115118951
chr12	115120616	115121005
chr12	118059875	118059995
chr12	118060378	118060498
chr12	120060070	120060190
chr12	120060734	120060854
chr12	124058429	124058549
chr12	128059423	128059543
chr12	128061682	128061802
chr12	128062883	128063003
chr12	130060104	130060224
chr12	132060696	132060816
chr12	132060906	132061108
chr13	19020567	19020687
chr13	21019590	21019710
chr13	21021168	21021288
chr13	21021598	21021718
chr13	23021759	23021879
chr13	25019321	25019441
chr13	25021094	25021214
chr13	27021147	27021267
chr13	31021398	31021518
chr13	32890570	32890690
chr13	32893213	32893333
chr13	32893342	32893462
chr13	32899206	32899326
chr13	32900202	32900322
chr13	32900338	32900458
chr13	32900632	32900752
chr13	32903544	32903664
chr13	32905051	32905171
chr13	32906408	32907524
chr13	32910401	32915333
chr13	32918682	32918802
chr13	32920938	32921058
chr13	32928997	32929425
chr13	32930564	32930746
chr13	32931878	32932066
chr13	32936651	32936830
chr13	32937315	32937670
chr13	32944538	32944694
chr13	32945092	32945237
chr13	32949451	32949571
chr13	32950807	32950927
chr13	32953453	32953652
chr13	32953886	32954050
chr13	32954143	32954282
chr13	32957988	32958108
chr13	32968825	32968945
chr13	32968950	32969070
chr13	32971034	32971181
chr13	32972298	32972418
chr13	32972420	32972540
chr13	32972542	32972662
chr13	32972665	32972785
chr13	32972787	32972907
chr13	33016983	33017103
chr13	33019785	33019905
chr13	35020215	35020441
chr13	37019126	37019246
chr13	39019348	39019468
chr13	40350852	40350972
chr13	41558050	41558170
chr13	44457865	44457985
chr13	47020536	47020656
chr13	47020661	47020781
chr13	48878048	48878185
chr13	48881418	48881538
chr13	48907116	48907236
chr13	48916732	48916852
chr13	48919215	48919335
chr13	48921920	48922040
chr13	48923065	48923185
chr13	48934148	48934268
chr13	48936950	48937093
chr13	48939008	48939128
chr13	48941624	48941744
chr13	48942641	48942761
chr13	48947524	48947644
chr13	48951052	48951172
chr13	48953698	48953818
chr13	48954144	48954264
chr13	48954278	48954398
chr13	48955382	48955579
chr13	49019610	49019795
chr13	49027128	49027248
chr13	49030339	49030485
chr13	49033823	49033969
chr13	49037858	49037978
chr13	49039130	49039250
chr13	49039340	49039504
chr13	49047450	49047570
chr13	49050836	49050979
chr13	49051455	49051575
chr13	49054100	49054220
chr13	49173437	49173572
chr13	51018961	51019081
chr13	51019714	51019834
chr13	51021917	51022037
chr13	55020241	55020466
chr13	55020794	55020914
chr13	57019447	57019567
chr13	59016279	59016399
chr13	61016924	61017044
chr13	61021062	61021182
chr13	63019745	63019865
chr13	65017934	65018054
chr13	65019964	65020084
chr13	67020818	67021017
chr13	69019510	69019630
chr13	69020290	69020410
chr13	69022447	69022567
chr13	69530604	69530724
chr13	71019610	71019730
chr13	71020556	71020676
chr13	71021042	71021162
chr13	73020247	73020367
chr13	75018678	75018798
chr13	75021943	75022063
chr13	77020476	77020596
chr13	77024841	77024961
chr13	79020592	79020712
chr13	79020745	79020865
chr13	80717096	80717216
chr13	81021840	81021960
chr13	83020467	83020587
chr13	83022136	83022256
chr13	85019745	85019865
chr13	85021413	85021533
chr13	89020501	89020621
chr13	91020566	91020686
chr13	91021108	91021228
chr13	93019542	93019662
chr13	93021077	93021197
chr13	95019984	95020104
chr13	95022006	95022126
chr13	97019587	97019707
chr13	97020574	97020765
chr13	99019986	99020106
chr13	99020911	99021031
chr13	101018416	101018536
chr13	101020635	101020755
chr13	103021355	103021475
chr13	103023563	103023683
chr13	105019879	105019999
chr13	105020519	105020639
chr13	107018093	107018213
chr13	107022036	107022156
chr13	109012603	109012723
chr13	111020818	111020938
chr13	111021021	111021141
chr13	113020407	113020527
chr13	113020575	113020695
chr13	113021410	113021530
chr13	113694449	113694569
chr14	20998536	20998656
chr14	21000058	21000258
chr14	22999755	22999875
chr14	23839973	23840093
chr14	26996450	26996570
chr14	27800117	27800237
chr14	28999780	28999900
chr14	30999613	30999733
chr14	30999737	30999857
chr14	31000410	31000530
chr14	32999752	32999872
chr14	33000166	33000286
chr14	33381038	33381158
chr14	34999875	34999995
chr14	37000603	37000723
chr14	38060569	38061916
chr14	38063302	38063422
chr14	38064081	38064201
chr14	38999899	39000019
chr14	39000976	39001096
chr14	40999620	40999740
chr14	40999914	41000034
chr14	42997903	42998023
chr14	44998398	44998518
chr14	45000834	45000954
chr14	48999554	48999674
chr14	50997723	50997843
chr14	51006626	51006746
chr14	53001244	53001364
chr14	53005109	53005229
chr14	55007375	55007495
chr14	55019120	55019240
chr14	56998238	56998358
chr14	56999472	56999592
chr14	58989456	58989576
chr14	60999215	60999335
chr14	60999792	60999912
chr14	61000432	61000552
chr14	62999441	62999561
chr14	63000698	63000818
chr14	64998056	64998176
chr14	64999978	65000098
chr14	65001149	65001269
chr14	66998518	66998638
chr14	66999213	66999333
chr14	69002928	69003048
chr14	69263539	69263659
chr14	70999417	70999537
chr14	72997609	72997729
chr14	73006438	73006558
chr14	74999048	74999168
chr14	75001937	75002057
chr14	76998606	76998726
chr14	76999956	77000076
chr14	79000628	79000748
chr14	80999782	80999902
chr14	80999961	81000081
chr14	81000516	81000636
chr14	81451169	81451289
chr14	83000036	83000156
chr14	83000376	83000496
chr14	85000030	85000150
chr14	86995898	86996018
chr14	87000287	87000407
chr14	88999249	88999369
chr14	91000756	91000876
chr14	91001861	91001981
chr14	92999163	92999283
chr14	95000100	95000220
chr14	98498891	98499011
chr14	98998950	98999070
chr14	99000605	99000725
chr14	100998788	100998908
chr14	100999788	100999908
chr14	101002089	101002209
chr14	105235882	105236002
chr14	105236657	105236777
chr14	105237072	105237192
chr14	105238088	105238208
chr14	105238685	105238805
chr14	105239214	105239429
chr14	105239592	105239712
chr14	105239794	105239914
chr14	105240222	105240342
chr14	105241247	105241367
chr14	105241412	105241544
chr14	105241988	105242136
chr14	105242991	105243111
chr14	105246428	105246548
chr14	105258897	105259017
chr14	107000368	107000488
chr15	21994397	21994517
chr15	23998420	23998540
chr15	26000491	26000611
chr15	26000650	26000770
chr15	28000957	28001077
chr15	28001974	28002094
chr15	29997019	29997139
chr15	29998461	29998581
chr15	30004024	30004144
chr15	32001206	32001326
chr15	36001326	36001446
chr15	37996421	37996541
chr15	38000710	38000830
chr15	38838204	38838324
chr15	40000341	40000461
chr15	40001246	40001366
chr15	41999198	41999318
chr15	44000054	44000174
chr15	44000485	44000605
chr15	44001011	44001131
chr15	46001165	46001285
chr15	47999259	47999379
chr15	47999649	47999769
chr15	48006664	48006784
chr15	49998622	49998742
chr15	51503004	51503124
chr15	51503133	51503253
chr15	51504498	51504758
chr15	51507266	51507429
